table_id,row_count,size_gb,table_created_on,table_last_loaded_on,partitioning_columns,clustering_columns
post_history,152435941,113.18,2016-10-26,2022-11-25,0,0
posts_questions,23020127,37.17,2016-11-01,2022-11-24,0,0
stackoverflow_posts,31017889,29.36,2016-09-21,2017-07-11,0,0
posts_answers,34024119,28.62,2016-10-31,2022-11-24,0,0
comments,86754111,16.03,2016-10-26,2022-11-24,0,0
votes,236452885,7.05,2016-10-26,2022-11-24,0,0
users,18712212,3.14,2016-10-26,2022-11-24,0,0
badges,46135386,1.96,2016-10-26,2022-11-24,0,0
post_links,8395210,0.31,2016-10-26,2022-11-24,0,0
posts_tag_wiki,55113,0.04,2016-10-31,2022-11-24,0,0
posts_tag_wiki_excerpt,55115,0.01,2016-10-31,2022-11-24,0,0
tags,63653,0.0,2016-10-26,2022-11-24,0,0
posts_moderator_nomination,342,0.0,2016-10-31,2022-11-24,0,0
posts_orphaned_tag_wiki,167,0.0,2016-10-31,2022-11-24,0,0
posts_wiki_placeholder,5,0.0,2016-10-31,2022-11-24,0,0
posts_privilege_wiki,2,0.0,2016-10-31,2022-11-24,0,0
