month,questions,answer_rate,acceptance_rate,acceptance_rate_given_answered,unanswered_non_positive_share
2022-09-01,120414,0.5142,0.2316,0.4504,0.44
2022-08-01,145229,0.5984,0.2944,0.492,0.3491
2022-07-01,138979,0.6161,0.3055,0.4958,0.3274
2022-06-01,140121,0.612,0.3021,0.4937,0.3278
2022-05-01,145398,0.6162,0.3029,0.4916,0.3231
2022-04-01,141881,0.6257,0.3129,0.5,0.3115
2022-03-01,153063,0.6259,0.3143,0.5021,0.311
2022-02-01,140358,0.6387,0.3238,0.507,0.296
2022-01-01,143345,0.6588,0.3436,0.5216,0.2705
2021-12-01,135919,0.6537,0.3376,0.5164,0.2765
2021-11-01,145064,0.6498,0.3405,0.524,0.2846
2021-10-01,143197,0.6676,0.3515,0.5264,0.2658
2021-09-01,127003,0.7572,0.3963,0.5234,0.1666
2021-08-01,123866,0.7956,0.4223,0.5308,0.1249
2021-07-01,125618,0.7914,0.4217,0.5328,0.1285
2021-06-01,130668,0.7948,0.4202,0.5287,0.128
2021-05-01,135508,0.7977,0.4261,0.5342,0.1273
2021-04-01,137767,0.7943,0.4268,0.5372,0.1268
2021-03-01,150631,0.7961,0.4317,0.5423,0.1247
2021-02-01,133047,0.8055,0.4408,0.5472,0.1211
2021-01-01,141292,0.8099,0.444,0.5482,0.1164
2020-12-01,135275,0.8101,0.4439,0.548,0.1141
2020-11-01,136284,0.8114,0.4517,0.5566,0.1143
2020-10-01,143114,0.8159,0.4525,0.5546,0.1111
2020-09-01,143009,0.8127,0.4463,0.5492,0.1142
2020-08-01,149587,0.8177,0.4506,0.551,0.1083
2020-07-01,167313,0.8151,0.4488,0.5506,0.1116
2020-06-01,173299,0.8113,0.4433,0.5464,0.114
2020-05-01,188041,0.8145,0.4513,0.554,0.1129
2020-04-01,184441,0.8124,0.4499,0.5538,0.1192
2020-03-01,157227,0.8089,0.4422,0.5467,0.1176
2020-02-01,146300,0.8167,0.4452,0.5451,0.1119
2020-01-01,147805,0.8195,0.4504,0.5497,0.1076
2019-12-01,133523,0.824,0.4496,0.5457,0.1016
2019-11-01,149313,0.8246,0.4449,0.5395,0.1056
2019-10-01,153648,0.8226,0.4475,0.544,0.1052
2019-09-01,137737,0.8255,0.4473,0.5418,0.0991
2019-08-01,137970,0.8277,0.4597,0.5555,0.0957
2019-07-01,151903,0.82,0.4503,0.5491,0.1041
2019-06-01,136660,0.82,0.4527,0.5521,0.1026
2019-05-01,152252,0.8191,0.4504,0.5499,0.1052
2019-04-01,154351,0.8217,0.4501,0.5478,0.102
2019-03-01,162023,0.826,0.4583,0.5548,0.1004
2019-02-01,147198,0.8311,0.4635,0.5577,0.0985
2019-01-01,150355,0.8311,0.4645,0.559,0.0975
2018-12-01,132952,0.8285,0.4623,0.558,0.0985
2018-11-01,150571,0.8255,0.4608,0.5583,0.0989
2018-10-01,161321,0.8312,0.462,0.5557,0.0969
2018-09-01,145301,0.83,0.462,0.5566,0.0955
2018-08-01,159314,0.8278,0.462,0.5581,0.0957
2018-07-01,160854,0.8237,0.4557,0.5533,0.1007
2018-06-01,155682,0.8228,0.4547,0.5526,0.1012
2018-05-01,168912,0.821,0.4557,0.5551,0.1032
2018-04-01,163740,0.8244,0.4588,0.5565,0.1022
2018-03-01,174415,0.8275,0.4635,0.5601,0.0999
2018-02-01,154271,0.8332,0.4711,0.5654,0.0954
2018-01-01,161656,0.8334,0.4704,0.5645,0.0958
2017-12-01,146417,0.8325,0.4663,0.5601,0.0942
2017-11-01,170389,0.8287,0.4615,0.5569,0.0977
2017-10-01,171425,0.8354,0.466,0.5578,0.0951
