ranking,rank,tag,n_questions,acceptance_rate,acceptance_ci_low,acceptance_ci_high,answer_rate,positive_answer_rate,acceptance_given_answered
highest_approval,1,awk,1122,0.664,0.6358,0.691,0.9572,0.7861,0.6937
highest_approval,2,dplyr,3654,0.6363,0.6206,0.6517,0.8998,0.714,0.7071
highest_approval,3,sed,944,0.6218,0.5905,0.6522,0.9407,0.7352,0.661
highest_approval,4,tidyverse,1298,0.6163,0.5896,0.6424,0.8575,0.6818,0.7188
highest_approval,5,regex,6262,0.5981,0.5859,0.6101,0.9011,0.6156,0.6637
highest_approval,6,pandas-groupby,997,0.6018,0.5711,0.6317,0.8455,0.6008,0.7117
highest_approval,7,beautifulsoup,2295,0.556,0.5356,0.5762,0.9285,0.5085,0.5988
highest_approval,8,group-by,1674,0.5556,0.5317,0.5792,0.8345,0.5436,0.6657
highest_approval,9,google-sheets-formula,1521,0.5444,0.5193,0.5693,0.8895,0.5247,0.612
highest_approval,10,dataframe,18557,0.5191,0.5119,0.5263,0.8185,0.53,0.6343
highest_approval,11,c++20,941,0.542,0.51,0.5736,0.7694,0.6833,0.7044
highest_approval,12,haskell,1325,0.5358,0.5089,0.5626,0.8317,0.7517,0.6443
highest_approval,13,julia,1094,0.5356,0.506,0.565,0.8492,0.7057,0.6308
highest_approval,14,ggplot2,4473,0.5171,0.5024,0.5317,0.7738,0.5488,0.6683
highest_approval,15,dictionary,5310,0.5087,0.4952,0.5221,0.8311,0.5348,0.6121
lowest_approval,1,google-chrome-extension,1792,0.1172,0.1031,0.1329,0.2913,0.1177,0.4023
lowest_approval,2,browser,1069,0.116,0.0982,0.1366,0.3751,0.1441,0.3092
lowest_approval,3,webview,896,0.1161,0.0967,0.1387,0.3225,0.106,0.3599
lowest_approval,4,sharepoint,1140,0.1254,0.1075,0.1459,0.3746,0.1096,0.3349
lowest_approval,5,google-chrome,2842,0.1351,0.123,0.1482,0.3607,0.1474,0.3746
lowest_approval,6,firebase-cloud-messaging,978,0.1329,0.1131,0.1556,0.408,0.1759,0.3258
lowest_approval,7,proxy,1057,0.1353,0.116,0.1572,0.3311,0.1296,0.4086
lowest_approval,8,websocket,2251,0.1466,0.1326,0.1618,0.3638,0.1515,0.4029
lowest_approval,9,webpack,3191,0.1523,0.1403,0.1652,0.3767,0.1576,0.4043
lowest_approval,10,ssl,2277,0.1515,0.1374,0.1668,0.3922,0.1559,0.3863
lowest_approval,11,audio,1457,0.1482,0.1309,0.1674,0.3905,0.1544,0.3796
lowest_approval,12,iframe,1177,0.1461,0.1271,0.1675,0.3866,0.1291,0.378
lowest_approval,13,plugins,1009,0.1447,0.1243,0.1678,0.3895,0.1288,0.3715
lowest_approval,14,installation,1111,0.1476,0.128,0.1697,0.4653,0.18,0.3172
lowest_approval,15,server,1704,0.152,0.1357,0.1698,0.4278,0.1714,0.3553
naive_highest,1,jstreer,10,1.0,0.7225,1.0,1.0,1.0,1.0
naive_highest,2,boost-spirit-qi,9,1.0,0.7008,1.0,1.0,0.8889,1.0
naive_highest,3,usort,9,1.0,0.7008,1.0,1.0,0.6667,1.0
naive_highest,4,compress-archive,6,1.0,0.6097,1.0,1.0,0.6667,1.0
naive_highest,5,chartjs-plugin-annotation,6,1.0,0.6097,1.0,1.0,0.6667,1.0
naive_highest,6,for-xml,6,1.0,0.6097,1.0,1.0,1.0,1.0
naive_highest,7,jtc,6,1.0,0.6097,1.0,1.0,0.5,1.0
naive_highest,8,foundry-contour,5,1.0,0.5655,1.0,1.0,1.0,1.0
naive_highest,9,boost-property-map,5,1.0,0.5655,1.0,1.0,1.0,1.0
naive_highest,10,faktor-ips,5,1.0,0.5655,1.0,1.0,1.0,1.0
naive_highest,11,jetbrains-toolbox,5,1.0,0.5655,1.0,1.0,0.8,1.0
naive_highest,12,plotrix,4,1.0,0.5101,1.0,1.0,0.75,1.0
naive_highest,13,rolling-sum,4,1.0,0.5101,1.0,1.0,0.5,1.0
naive_highest,14,sea-query,4,1.0,0.5101,1.0,1.0,0.25,1.0
naive_highest,15,language-implementation,4,1.0,0.5101,1.0,1.0,1.0,1.0
naive_lowest,1,fbx,49,0.0,0.0,0.0727,0.3265,0.1224,0.0
naive_lowest,2,facebook-marketing-api,39,0.0,0.0,0.0897,0.2051,0.0256,0.0
naive_lowest,3,dms,35,0.0,0.0,0.0989,0.3143,0.1143,0.0
naive_lowest,4,azure-devops-migration-tools,33,0.0,0.0,0.1043,0.3636,0.1515,0.0
naive_lowest,5,apple-wallet,32,0.0,0.0,0.1072,0.125,0.0,0.0
naive_lowest,6,random-effects,32,0.0,0.0,0.1072,0.2813,0.1563,0.0
naive_lowest,7,amazonsellercentral,32,0.0,0.0,0.1072,0.25,0.0313,0.0
naive_lowest,8,vcenter,31,0.0,0.0,0.1103,0.3871,0.0,0.0
naive_lowest,9,android-productflavors,31,0.0,0.0,0.1103,0.1935,0.0323,0.0
naive_lowest,10,xhtml2pdf,30,0.0,0.0,0.1135,0.2667,0.1,0.0
naive_lowest,11,apple-appclips,28,0.0,0.0,0.1206,0.1429,0.0,0.0
naive_lowest,12,storybook-addon,28,0.0,0.0,0.1206,0.1786,0.0,0.0
naive_lowest,13,apriori,28,0.0,0.0,0.1206,0.2143,0.0357,0.0
naive_lowest,14,android-push-notification,27,0.0,0.0,0.1246,0.1481,0.037,0.0
naive_lowest,15,drupal-views,27,0.0,0.0,0.1246,0.3333,0.037,0.0
