ranking,rank,tag,n_questions,acceptance_rate,acceptance_ci_low,acceptance_ci_high,answer_rate,positive_answer_rate,acceptance_given_answered,acceptance_per_answer,self_accepted_share,closed_in_window_share,duplicate_share,median_days_to_first_answer,answers_per_question,distinct_answerers_per_100_questions,window_capture_ratio
highest_approval,1,awk,1122,0.664,0.6358,0.691,0.9572,0.7879,0.6937,0.271,0.0148,0.1025,0.0312,0,2.45,31.5,0.9777
highest_approval,2,dplyr,3654,0.6363,0.6206,0.6517,0.8998,0.7124,0.7071,0.4226,0.0151,0.0553,0.0487,0,1.51,23.6,0.9818
highest_approval,3,sed,944,0.6218,0.5905,0.6522,0.9407,0.7394,0.661,0.2847,0.0256,0.1102,0.053,0,2.18,41.6,0.9767
highest_approval,4,tidyverse,1298,0.6163,0.5896,0.6424,0.8575,0.6749,0.7188,0.4435,0.0163,0.0532,0.047,0,1.39,34.7,0.9768
highest_approval,5,regex,6262,0.5981,0.5859,0.6101,0.9011,0.6447,0.6637,0.4196,0.0262,0.1132,0.0648,0,1.43,47.8,0.977
highest_approval,6,pandas-groupby,997,0.6018,0.5711,0.6317,0.8455,0.5958,0.7117,0.4831,0.0167,0.0562,0.0491,0,1.25,40.7,0.9693
highest_approval,7,beautifulsoup,2295,0.556,0.5356,0.5762,0.9285,0.5015,0.5988,0.4382,0.0204,0.0301,0.0148,0,1.27,44.0,0.9733
highest_approval,8,group-by,1674,0.5556,0.5317,0.5792,0.8345,0.54,0.6657,0.4611,0.0237,0.0639,0.0538,0,1.2,56.2,0.9779
highest_approval,9,google-sheets-formula,1521,0.5444,0.5193,0.5693,0.8895,0.5174,0.612,0.4544,0.0181,0.0296,0.0191,0,1.2,16.7,0.9776
highest_approval,10,dataframe,18557,0.5191,0.5119,0.5263,0.8185,0.5248,0.6343,0.417,0.0275,0.0668,0.0591,0,1.24,27.8,0.9782
highest_approval,11,c++20,941,0.542,0.51,0.5736,0.7694,0.6865,0.7044,0.503,0.0451,0.1445,0.1073,0,1.08,32.9,0.9696
highest_approval,12,haskell,1325,0.5358,0.5089,0.5626,0.8317,0.7494,0.6443,0.4778,0.0634,0.0725,0.0415,0,1.12,23.8,0.9699
highest_approval,13,julia,1094,0.5356,0.506,0.565,0.8492,0.6974,0.6308,0.4603,0.0734,0.0165,0.0046,0,1.16,23.9,0.9575
highest_approval,14,ggplot2,4473,0.5171,0.5024,0.5317,0.7738,0.5408,0.6683,0.5315,0.0311,0.0579,0.0516,0,0.97,18.6,0.9768
highest_approval,15,dictionary,5310,0.5087,0.4952,0.5221,0.8311,0.5335,0.6121,0.3626,0.0348,0.0738,0.0516,0,1.4,71.0,0.9754
lowest_approval,1,google-chrome-extension,1792,0.1172,0.1031,0.1329,0.2913,0.1038,0.4023,0.359,0.2619,0.144,0.1356,0,0.33,23.0,0.9013
lowest_approval,2,browser,1069,0.116,0.0982,0.1366,0.3751,0.1282,0.3092,0.2622,0.1694,0.0327,0.0262,0,0.44,39.7,0.8921
lowest_approval,3,webview,896,0.1161,0.0967,0.1387,0.3225,0.0971,0.3599,0.3077,0.3173,0.0067,0.0089,0,0.38,31.6,0.9123
lowest_approval,4,sharepoint,1140,0.1254,0.1075,0.1459,0.3746,0.1,0.3349,0.2967,0.1958,0.0053,0.0026,1,0.42,23.2,0.8994
lowest_approval,5,google-chrome,2842,0.1351,0.123,0.1482,0.3607,0.1312,0.3746,0.3048,0.2292,0.0426,0.0359,0,0.44,35.8,0.8889
lowest_approval,6,firebase-cloud-messaging,978,0.1329,0.1131,0.1556,0.408,0.1421,0.3258,0.2725,0.3462,0.0307,0.0297,0,0.49,36.9,0.8387
lowest_approval,7,proxy,1057,0.1353,0.116,0.1572,0.3311,0.1145,0.4086,0.3695,0.3427,0.0114,0.0085,0,0.37,33.6,0.8938
lowest_approval,8,websocket,2251,0.1466,0.1326,0.1618,0.3638,0.1315,0.4029,0.365,0.2909,0.0107,0.0076,0,0.4,34.3,0.8753
lowest_approval,9,webpack,3191,0.1523,0.1403,0.1652,0.3767,0.1279,0.4043,0.3542,0.4753,0.0116,0.0097,0,0.43,36.5,0.8869
lowest_approval,10,ssl,2277,0.1515,0.1374,0.1668,0.3922,0.137,0.3863,0.345,0.4203,0.0321,0.0255,0,0.44,36.3,0.8938
lowest_approval,11,audio,1457,0.1482,0.1309,0.1674,0.3905,0.1441,0.3796,0.3234,0.2407,0.0233,0.0185,0,0.46,38.0,0.9231
lowest_approval,12,iframe,1177,0.1461,0.1271,0.1675,0.3866,0.1223,0.378,0.3116,0.2151,0.0204,0.017,0,0.47,36.9,0.9247
lowest_approval,13,plugins,1009,0.1447,0.1243,0.1678,0.3895,0.109,0.3715,0.3326,0.2192,0.0109,0.0059,0,0.44,37.7,0.8957
lowest_approval,14,installation,1111,0.1476,0.128,0.1697,0.4653,0.1575,0.3172,0.2654,0.2805,0.0342,0.0207,0,0.56,50.6,0.9266
lowest_approval,15,server,1704,0.152,0.1357,0.1698,0.4278,0.1573,0.3553,0.3019,0.1931,0.0317,0.017,0,0.5,46.0,0.9056
naive_highest,1,jstreer,10,1.0,0.7225,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1.0,40.0,1.0
naive_highest,2,boost-spirit-qi,9,1.0,0.7008,1.0,1.0,0.8889,1.0,1.0,0.0,0.0,0.0,0,1.0,22.2,1.0
naive_highest,3,usort,9,1.0,0.7008,1.0,1.0,0.7778,1.0,0.75,0.1111,0.0,0.0,0,1.33,111.1,1.0
naive_highest,4,chartjs-plugin-annotation,6,1.0,0.6097,1.0,1.0,0.5,1.0,0.8571,0.1667,0.0,0.0,0,1.17,66.7,1.0
naive_highest,5,compress-archive,6,1.0,0.6097,1.0,1.0,0.6667,1.0,0.8571,0.0,0.0,0.0,0,1.17,100.0,1.0
naive_highest,6,for-xml,6,1.0,0.6097,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0,1.67,83.3,1.0
naive_highest,7,jtc,6,1.0,0.6097,1.0,1.0,0.5,1.0,0.6,0.0,0.0,0.0,0,1.67,66.7,1.0
naive_highest,8,boost-property-map,5,1.0,0.5655,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0,1.0,40.0,1.0
naive_highest,9,faktor-ips,5,1.0,0.5655,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1.0,60.0,1.0
naive_highest,10,foundry-contour,5,1.0,0.5655,1.0,1.0,1.0,1.0,0.8333,0.4,0.0,0.0,0,1.2,80.0,1.0
naive_highest,11,jetbrains-toolbox,5,1.0,0.5655,1.0,1.0,0.8,1.0,0.8333,0.4,0.0,0.0,0,1.2,120.0,1.0
naive_highest,12,asp.net-mvc-areas,4,1.0,0.5101,1.0,1.0,0.25,1.0,1.0,0.5,0.0,0.0,1,1.0,100.0,1.0
naive_highest,13,descendant,4,1.0,0.5101,1.0,1.0,0.75,1.0,1.0,0.0,0.0,0.0,0,1.0,100.0,1.0
naive_highest,14,flow-control,4,1.0,0.5101,1.0,1.0,0.25,1.0,0.8,0.5,0.5,0.0,0,1.25,100.0,1.0
naive_highest,15,fparsec,4,1.0,0.5101,1.0,1.0,0.75,1.0,0.5714,0.5,0.0,0.0,0,1.75,150.0,1.0
naive_lowest,1,fbx,49,0.0,0.0,0.0727,0.3265,0.1224,0.0,0.0,,0.0204,0.0204,1,0.35,34.7,0.0
naive_lowest,2,facebook-marketing-api,39,0.0,0.0,0.0897,0.2051,0.0,0.0,0.0,,0.0,0.0,4,0.21,20.5,0.0
