rank_from_top,rank_from_bottom,tag,n_questions,acceptance_rate,acceptance_ci_low,acceptance_ci_high,answer_rate,positive_answer_rate,acceptance_given_answered,acceptance_per_answer,self_accepted_share,closed_in_window_share,duplicate_share,median_days_to_first_answer,answers_per_question,distinct_answerers_per_100_questions,window_capture_ratio,first_tag_share,acceptance_rate_as_first_tag,acceptance_rate_as_later_tag,acceptance_rate_lifetime
1,470,awk,1122,0.664,0.6358,0.691,0.9572,0.7879,0.6937,0.271,0.0148,0.1025,0.0312,0,2.45,31.5,0.9777,0.2816,0.6899,0.6538,0.6791
2,468,dplyr,3654,0.6363,0.6206,0.6517,0.8998,0.7124,0.7071,0.4226,0.0151,0.0553,0.0487,0,1.51,23.6,0.9818,0.0203,0.4865,0.6394,0.6481
3,469,sed,944,0.6218,0.5905,0.6522,0.9407,0.7394,0.661,0.2847,0.0256,0.1102,0.053,0,2.18,41.6,0.9767,0.1239,0.5983,0.6252,0.6367
4,467,tidyverse,1298,0.6163,0.5896,0.6424,0.8575,0.6749,0.7188,0.4435,0.0163,0.0532,0.047,0,1.39,34.7,0.9768,0.0123,0.25,0.6209,0.631
5,465,regex,6262,0.5981,0.5859,0.6101,0.9011,0.6447,0.6637,0.4196,0.0262,0.1132,0.0648,0,1.43,47.8,0.977,0.378,0.5615,0.6203,0.6121
6,466,pandas-groupby,997,0.6018,0.5711,0.6317,0.8455,0.5958,0.7117,0.4831,0.0167,0.0562,0.0491,0,1.25,40.7,0.9693,0.007,0.1429,0.6051,0.6209
7,463,beautifulsoup,2295,0.556,0.5356,0.5762,0.9285,0.5015,0.5988,0.4382,0.0204,0.0301,0.0148,0,1.27,44.0,0.9733,0.0153,0.4,0.5584,0.5712
8,464,group-by,1674,0.5556,0.5317,0.5792,0.8345,0.54,0.6657,0.4611,0.0237,0.0639,0.0538,0,1.2,56.2,0.9779,0.0376,0.254,0.5673,0.5681
9,461,google-sheets-formula,1521,0.5444,0.5193,0.5693,0.8895,0.5174,0.612,0.4544,0.0181,0.0296,0.0191,0,1.2,16.7,0.9776,0.071,0.2685,0.5655,0.5569
10,453,dataframe,18557,0.5191,0.5119,0.5263,0.8185,0.5248,0.6343,0.417,0.0275,0.0668,0.0591,0,1.24,27.8,0.9782,0.0394,0.3579,0.5257,0.5307
11,462,c++20,941,0.542,0.51,0.5736,0.7694,0.6865,0.7044,0.503,0.0451,0.1445,0.1073,0,1.08,32.9,0.9696,0.0043,0.5,0.5422,0.559
12,459,haskell,1325,0.5358,0.5089,0.5626,0.8317,0.7494,0.6443,0.4778,0.0634,0.0725,0.0415,0,1.12,23.8,0.9699,0.8558,0.5344,0.5445,0.5525
13,460,julia,1094,0.5356,0.506,0.565,0.8492,0.6974,0.6308,0.4603,0.0734,0.0165,0.0046,0,1.16,23.9,0.9575,0.4753,0.5673,0.507,0.5594
14,456,ggplot2,4473,0.5171,0.5024,0.5317,0.7738,0.5408,0.6683,0.5315,0.0311,0.0579,0.0516,0,0.97,18.6,0.9768,0.0295,0.4015,0.5206,0.5294
15,452,dictionary,5310,0.5087,0.4952,0.5221,0.8311,0.5335,0.6121,0.3626,0.0348,0.0738,0.0516,0,1.4,71.0,0.9754,0.0369,0.3673,0.5141,0.5215
16,457,replace,1166,0.5197,0.491,0.5483,0.8285,0.5326,0.6273,0.3811,0.0429,0.0866,0.0652,0,1.36,92.5,0.9696,0.0369,0.2326,0.5307,0.536
17,450,rust,5086,0.5037,0.49,0.5175,0.7757,0.5798,0.6494,0.5271,0.0984,0.079,0.0647,0,0.96,24.5,0.9614,0.7265,0.5237,0.4508,0.524
18,458,aggregation-framework,914,0.5208,0.4884,0.553,0.7702,0.4672,0.6761,0.5561,0.0357,0.0131,0.0131,0,0.94,20.8,0.9734,0.0055,0.2,0.5226,0.535
19,445,pandas,31907,0.4928,0.4874,0.4983,0.799,0.4939,0.6168,0.4204,0.031,0.0721,0.0624,0,1.17,23.2,0.9762,0.0853,0.3974,0.5017,0.5048
20,447,list,8917,0.4933,0.483,0.5037,0.8503,0.5409,0.5802,0.3218,0.0236,0.1025,0.0768,0,1.53,70.0,0.9726,0.0986,0.4005,0.5035,0.5072
21,451,join,1436,0.4958,0.47,0.5217,0.8447,0.4826,0.587,0.4233,0.0449,0.0529,0.0292,0,1.17,63.0,0.9753,0.0467,0.3284,0.504,0.5084
22,454,split,1164,0.4983,0.4696,0.527,0.8548,0.5369,0.5829,0.3331,0.0259,0.0773,0.055,0,1.5,99.9,0.9667,0.0284,0.3939,0.5013,0.5155
23,441,string,6889,0.479,0.4672,0.4908,0.8374,0.5502,0.572,0.3296,0.0364,0.1228,0.0896,0,1.45,77.6,0.9769,0.1267,0.449,0.4834,0.4903
24,455,count,962,0.4979,0.4664,0.5295,0.8181,0.4969,0.6086,0.3962,0.0271,0.0447,0.0291,0,1.26,83.5,0.9657,0.0541,0.1731,0.5165,0.5156
25,442,google-sheets,5954,0.4782,0.4655,0.4909,0.8295,0.4676,0.5764,0.4402,0.0277,0.0527,0.0391,0,1.09,14.3,0.9777,0.3247,0.4428,0.4952,0.4891
26,448,xpath,1551,0.4823,0.4575,0.5072,0.8659,0.4307,0.557,0.3878,0.0428,0.0258,0.0226,0,1.24,35.5,0.9652,0.0858,0.4511,0.4852,0.4997
27,446,linq,1761,0.4793,0.456,0.5026,0.8058,0.515,0.5948,0.4017,0.064,0.0579,0.0409,0,1.19,54.3,0.9769,0.0653,0.4087,0.4842,0.4906
28,431,arrays,18819,0.4601,0.453,0.4672,0.8099,0.4867,0.568,0.3436,0.0347,0.1064,0.0805,0,1.34,60.1,0.9751,0.2767,0.4484,0.4645,0.4718
29,444,tsql,1626,0.4711,0.4469,0.4954,0.8253,0.5498,0.5708,0.383,0.0379,0.0849,0.0627,0,1.23,41.2,0.9733,0.0959,0.359,0.483,0.484
30,449,c++17,1000,0.477,0.4462,0.508,0.756,0.623,0.631,0.4492,0.0545,0.136,0.097,0,1.06,40.6,0.954,0.022,0.4091,0.4785,0.5
31,440,generics,1917,0.4679,0.4457,0.4903,0.7246,0.517,0.6458,0.4815,0.0635,0.0949,0.0819,0,0.97,55.6,0.9687,0.0793,0.5132,0.464,0.483
32,410,r,35658,0.4442,0.439,0.4493,0.7054,0.4868,0.6297,0.4349,0.0419,0.0506,0.0432,0,1.02,11.5,0.9718,0.9658,0.4474,0.3522,0.457
33,423,numpy,8614,0.4485,0.438,0.459,0.7535,0.489,0.5951,0.409,0.0463,0.0461,0.037,0,1.1,38.1,0.9699,0.0483,0.2909,0.4565,0.4624
34,443,struct,1301,0.4643,0.4373,0.4914,0.7879,0.5427,0.5893,0.4117,0.0513,0.0922,0.073,0,1.13,58.1,0.9773,0.0492,0.4531,0.4648,0.475
35,439,rxjs,1309,0.4622,0.4353,0.4893,0.8487,0.5302,0.5446,0.3732,0.0628,0.0115,0.0076,0,1.24,48.8,0.9649,0.1001,0.4809,0.4601,0.479
36,427,if-statement,3439,0.4469,0.4304,0.4636,0.8241,0.4856,0.5423,0.3459,0.0273,0.1009,0.0678,0,1.29,88.1,0.9753,0.1053,0.453,0.4462,0.4583
37,422,google-apps-script,4778,0.4433,0.4292,0.4574,0.7955,0.4295,0.5572,0.4375,0.0486,0.0831,0.0659,0,1.01,15.7,0.9716,0.6388,0.4227,0.4797,0.4563
38,415,bash,7314,0.4401,0.4288,0.4515,0.771,0.5085,0.5708,0.3558,0.069,0.1336,0.103,0,1.24,33.9,0.9687,0.6203,0.4549,0.4159,0.4543
39,420,for-loop,4692,0.4425,0.4283,0.4567,0.7907,0.4759,0.5596,0.3476,0.039,0.0853,0.0637,0,1.27,78.4,0.9687,0.0531,0.3253,0.449,0.4567
40,425,datetime,3503,0.4445,0.4281,0.461,0.7782,0.4653,0.5712,0.3998,0.0514,0.0825,0.0665,0,1.11,68.5,0.9762,0.052,0.3571,0.4493,0.4553
41,436,react-router-dom,1514,0.4524,0.4275,0.4776,0.7768,0.4234,0.5825,0.4164,0.0832,0.1189,0.1123,0,1.09,55.7,0.9554,0.0139,0.2381,0.4555,0.4736
42,437,lambda,1249,0.4548,0.4273,0.4825,0.7294,0.4732,0.6235,0.4232,0.0493,0.1017,0.0857,0,1.07,73.9,0.9578,0.0448,0.2321,0.4652,0.4748
43,418,sorting,3163,0.4379,0.4207,0.4552,0.786,0.4856,0.5571,0.344,0.0318,0.099,0.0689,0,1.27,80.1,0.9733,0.0857,0.3063,0.4502,0.4499
44,438,ecmascript-6,986,0.4513,0.4205,0.4825,0.7363,0.4899,0.6129,0.356,0.0315,0.1288,0.1055,0,1.27,85.8,0.9529,0.0193,0.3684,0.4529,0.4736
45,435,conditional-statements,1186,0.4477,0.4196,0.4761,0.7875,0.4688,0.5685,0.3644,0.0339,0.0582,0.0481,0,1.23,92.2,0.9725,0.0354,0.2381,0.4554,0.4604
46,428,pointers,1923,0.4415,0.4194,0.4638,0.8102,0.6011,0.5449,0.3451,0.0271,0.1492,0.1108,0,1.28,50.6,0.9582,0.0426,0.3415,0.446,0.4607
47,412,date,3224,0.4333,0.4163,0.4505,0.7723,0.4507,0.561,0.3884,0.053,0.08,0.0633,0,1.12,69.3,0.9715,0.1151,0.3261,0.4472,0.446
48,419,recursion,2196,0.4349,0.4143,0.4557,0.791,0.4841,0.5498,0.3454,0.0377,0.0829,0.0583,0,1.26,74.9,0.9825,0.0847,0.3118,0.4463,0.4426
49,433,svelte,1171,0.4415,0.4133,0.4701,0.7566,0.4987,0.5835,0.4818,0.1103,0.0162,0.0137,0,0.92,35.2,0.9366,0.316,0.4486,0.4382,0.4714
50,429,multidimensional-array,1312,0.4383,0.4116,0.4653,0.779,0.4619,0.5626,0.3619,0.0348,0.0945,0.0747,0,1.21,85.9,0.9664,0.0366,0.2292,0.4462,0.4535
51,411,shiny,2447,0.4307,0.4112,0.4504,0.642,0.3935,0.6709,0.5962,0.0911,0.0123,0.0098,0,0.72,18.1,0.9759,0.0642,0.2803,0.441,0.4414
52,430,use-state,1223,0.4374,0.4099,0.4654,0.7874,0.4497,0.5556,0.3664,0.028,0.0548,0.0491,0,1.19,85.1,0.9781,0.0016,0.5,0.4373,0.4473
53,424,mongodb-query,1485,0.4343,0.4093,0.4597,0.7313,0.402,0.5939,0.4803,0.0512,0.0114,0.0101,0,0.9,26.7,0.9656,0.0135,0.25,0.4369,0.4498
54,417,templates,1846,0.4317,0.4093,0.4545,0.6939,0.5016,0.6222,0.4583,0.0565,0.123,0.1002,0,0.94,38.4,0.9779,0.0742,0.2409,0.447,0.4415
55,434,seaborn,993,0.4391,0.4085,0.4701,0.6365,0.434,0.6899,0.5837,0.0573,0.2427,0.2306,0,0.75,31.8,0.9909,0.0332,0.4242,0.4396,0.4431
56,406,object,3392,0.4222,0.4056,0.4389,0.7742,0.4393,0.5453,0.3253,0.0363,0.1297,0.1047,0,1.3,82.9,0.9768,0.0254,0.1744,0.4286,0.4322
57,432,duplicates,908,0.435,0.4031,0.4675,0.7577,0.4548,0.5741,0.3502,0.038,0.0672,0.0573,0,1.24,87.1,0.985,0.0507,0.2174,0.4466,0.4416
58,421,vector,1287,0.4297,0.4029,0.4569,0.7405,0.5221,0.5803,0.383,0.0434,0.1002,0.0746,0,1.12,58.7,0.984,0.0932,0.3083,0.4422,0.4367
59,416,flexbox,1485,0.4263,0.4013,0.4516,0.8061,0.4209,0.5288,0.3256,0.0679,0.1354,0.1246,0,1.31,78.7,0.9738,0.0182,0.2963,0.4287,0.4377
60,426,nested,904,0.4303,0.3984,0.4628,0.7555,0.3938,0.5695,0.3751,0.0488,0.0476,0.0365,0,1.15,91.9,0.9798,0.0254,0.1304,0.4381,0.4392
61,405,filter,2506,0.4162,0.397,0.4356,0.7203,0.3935,0.5778,0.3882,0.0547,0.0459,0.0371,0,1.07,71.6,0.9702,0.1006,0.1587,0.445,0.429
62,401,loops,5543,0.4092,0.3963,0.4222,0.7808,0.4274,0.524,0.3298,0.0392,0.0772,0.0559,0,1.24,76.9,0.9726,0.0732,0.2833,0.4191,0.4207
63,402,algorithm,4461,0.4087,0.3943,0.4232,0.755,0.5118,0.5413,0.3432,0.0378,0.0717,0.0343,0,1.19,52.0,0.9661,0.345,0.3216,0.4545,0.423
64,380,sql,27412,0.4,0.3942,0.4058,0.7816,0.4391,0.5118,0.3599,0.0461,0.0598,0.043,0,1.11,28.1,0.9702,0.7389,0.4124,0.3647,0.4123
65,408,xaml,1310,0.4183,0.3919,0.4452,0.6962,0.355,0.6009,0.5074,0.115,0.042,0.0374,0,0.82,31.9,0.9665,0.1771,0.3879,0.4249,0.4328
66,407,random,1445,0.4166,0.3914,0.4422,0.7869,0.4768,0.5295,0.3422,0.0316,0.0934,0.0664,0,1.22,92.7,0.9647,0.0768,0.3063,0.4258,0.4318
67,413,foreach,1043,0.4209,0.3913,0.4511,0.7555,0.4036,0.5571,0.3814,0.0638,0.0767,0.0652,0,1.1,87.3,0.9734,0.0403,0.3333,0.4246,0.4324
68,403,react-router,1947,0.4104,0.3887,0.4324,0.7473,0.3842,0.5491,0.394,0.0726,0.1263,0.1181,0,1.04,55.5,0.958,0.0308,0.2667,0.4149,0.4284
69,409,c++11,1093,0.4172,0.3883,0.4467,0.7228,0.5371,0.5772,0.4187,0.0636,0.1317,0.0997,0,1.0,42.8,0.9702,0.1171,0.25,0.4394,0.43
70,414,enums,919,0.4189,0.3874,0.4511,0.7323,0.5103,0.5721,0.4036,0.0909,0.0805,0.0544,0,1.04,80.0,0.9649,0.0348,0.3125,0.4228,0.4342
71,404,types,1673,0.4094,0.3861,0.4332,0.6987,0.4734,0.586,0.4319,0.0657,0.0825,0.0723,0,0.95,67.1,0.9607,0.055,0.4022,0.4099,0.4262
72,391,web-scraping,4655,0.3991,0.3852,0.4133,0.7203,0.3622,0.5541,0.4237,0.0398,0.0223,0.0135,0,0.94,37.1,0.9692,0.064,0.2114,0.412,0.4118
73,383,react-hooks,5368,0.394,0.381,0.4071,0.7355,0.4015,0.5357,0.3762,0.0643,0.0466,0.0369,0,1.05,56.0,0.968,0.0153,0.2195,0.3967,0.407
74,397,discord.js,2567,0.3985,0.3797,0.4176,0.7974,0.3136,0.4998,0.4024,0.0811,0.0401,0.0284,0,0.99,36.5,0.9525,0.1071,0.3745,0.4014,0.4184
75,375,function,6147,0.3893,0.3772,0.4016,0.7423,0.4215,0.5244,0.3492,0.0401,0.1088,0.0867,0,1.11,71.5,0.974,0.089,0.2852,0.3995,0.3997
