feature_class,feature,bucket,n_questions,share_of_cohort,answer_rate,acceptance_rate,acceptance_given_answered,answer_lift,acceptance_lift
known_at_post_time,title_length_chars,a. under 35,103368,0.0918,0.6246,0.2966,0.4749,1.031,0.998
known_at_post_time,title_length_chars,b. 35-49,289258,0.2569,0.6205,0.3071,0.4949,1.024,1.033
known_at_post_time,title_length_chars,c. 50-64,316753,0.2814,0.6093,0.3037,0.4984,1.006,1.022
known_at_post_time,title_length_chars,d. 65-84,250981,0.2229,0.599,0.2973,0.4963,0.989,1.0
known_at_post_time,title_length_chars,e. 85 or more,165403,0.1469,0.5726,0.2676,0.4673,0.945,0.901
known_at_post_time,title_form,how,246359,0.2188,0.6418,0.3137,0.4888,1.059,1.056
known_at_post_time,title_form,other,613472,0.5449,0.6109,0.3081,0.5043,1.008,1.037
known_at_post_time,title_form,problem report,172838,0.1535,0.5337,0.2312,0.4332,0.881,0.778
known_at_post_time,title_form,what / which / where,20197,0.0179,0.6263,0.3087,0.4928,1.034,1.039
known_at_post_time,title_form,why,28790,0.0256,0.6358,0.3295,0.5182,1.049,1.109
known_at_post_time,title_form,yes-or-no question,44107,0.0392,0.59,0.2854,0.4837,0.974,0.96
known_at_post_time,title_ends_with_question_mark,no,869505,0.7724,0.5977,0.2913,0.4873,0.987,0.98
known_at_post_time,title_ends_with_question_mark,yes,256258,0.2276,0.6336,0.3171,0.5005,1.046,1.067
known_at_post_time,title_uses_urgency_words,no,1125046,0.9994,0.6059,0.2972,0.4906,1.0,1.0
known_at_post_time,title_uses_urgency_words,yes,717,6.0E-4,0.6011,0.2162,0.3596,0.992,0.727
known_at_post_time,body_text_length_chars,a. under 300,107776,0.0957,0.5733,0.2177,0.3797,0.946,0.733
known_at_post_time,body_text_length_chars,b. 300-699,293505,0.2607,0.6075,0.2837,0.4669,1.003,0.955
known_at_post_time,body_text_length_chars,c. 700-1499,361326,0.321,0.6281,0.3227,0.5138,1.037,1.086
known_at_post_time,body_text_length_chars,d. 1500-2999,227063,0.2017,0.6076,0.3181,0.5235,1.003,1.07
known_at_post_time,body_text_length_chars,e. 3000 or more,136093,0.1209,0.5663,0.2865,0.5059,0.935,0.964
known_at_post_time,code_blocks_in_body,a. none,282781,0.2512,0.5103,0.1966,0.3853,0.842,0.662
known_at_post_time,code_blocks_in_body,b. one,379897,0.3375,0.6207,0.3023,0.4869,1.025,1.017
known_at_post_time,code_blocks_in_body,c. 2-3,367989,0.3269,0.652,0.3515,0.5391,1.076,1.183
known_at_post_time,code_blocks_in_body,d. 4-8,93019,0.0826,0.6525,0.3661,0.5612,1.077,1.232
known_at_post_time,code_blocks_in_body,e. 9 or more,2077,0.0018,0.6423,0.3462,0.539,1.06,1.165
known_at_post_time,inline_code_spans_in_body,a. none,786308,0.6985,0.588,0.2695,0.4583,0.971,0.907
known_at_post_time,inline_code_spans_in_body,b. 1-2,171276,0.1521,0.6401,0.3432,0.5362,1.056,1.155
known_at_post_time,inline_code_spans_in_body,c. 3-9,146700,0.1303,0.6549,0.3785,0.578,1.081,1.274
known_at_post_time,inline_code_spans_in_body,d. 10 or more,21479,0.0191,0.6516,0.3877,0.5951,1.075,1.305
known_at_post_time,body_contains_error_output,no,987951,0.8776,0.6117,0.3015,0.4929,1.01,1.015
known_at_post_time,body_contains_error_output,yes,137812,0.1224,0.5642,0.266,0.4715,0.931,0.895
known_at_post_time,body_says_what_was_tried,no,951940,0.8456,0.6033,0.2933,0.4861,0.996,0.987
known_at_post_time,body_says_what_was_tried,yes,173823,0.1544,0.6199,0.3186,0.5139,1.023,1.072
known_at_post_time,body_states_expected_result,no,1043017,0.9265,0.6005,0.2907,0.4842,0.991,0.978
known_at_post_time,body_states_expected_result,yes,82746,0.0735,0.6741,0.3782,0.561,1.113,1.273
known_at_post_time,body_contains_image,no,993274,0.8823,0.6035,0.2937,0.4867,0.996,0.988
known_at_post_time,body_contains_image,yes,132489,0.1177,0.6238,0.323,0.5178,1.03,1.087
known_at_post_time,body_contains_link_other_than_image,no,899768,0.7993,0.6169,0.3003,0.4868,1.018,1.011
known_at_post_time,body_contains_link_other_than_image,yes,225995,0.2007,0.562,0.2846,0.5064,0.927,0.958
known_at_post_time,number_of_tags,1,133765,0.1188,0.6166,0.2979,0.4831,1.018,1.002
known_at_post_time,number_of_tags,2,282381,0.2508,0.6244,0.3109,0.4979,1.031,1.046
known_at_post_time,number_of_tags,3,311109,0.2764,0.6052,0.2988,0.4938,0.999,1.006
known_at_post_time,number_of_tags,4,220752,0.1961,0.5947,0.2899,0.4876,0.981,0.976
known_at_post_time,number_of_tags,5,177756,0.1579,0.5835,0.2809,0.4813,0.963,0.945
known_at_post_time,narrowest_tag_on_the_question,"a. under 1,000 questions this year",724695,0.6437,0.5643,0.2695,0.4776,0.931,0.907
known_at_post_time,narrowest_tag_on_the_question,"b. 1,000-9,999",264491,0.2349,0.6623,0.3358,0.5071,1.093,1.13
known_at_post_time,narrowest_tag_on_the_question,"c. 10,000-99,999",118272,0.1051,0.7126,0.3681,0.5165,1.176,1.239
known_at_post_time,narrowest_tag_on_the_question,"d. 100,000 or more (only mega-tags)",18305,0.0163,0.7492,0.375,0.5005,1.237,1.262
known_at_post_time,posting_hour_utc,a. 00-03,98465,0.0875,0.6206,0.3032,0.4886,1.024,1.02
